,ID,Age,Education,Years_Education,Marital_Status,Income,Kidhome,Teenhome,NumChildrenhome,Haskids,Dt_Customer,Year_Customer,Recency,MntDairy,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGold,Spendings,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response
12,2125,63,Graduation,13,Alone,26026.0,0,0,0,0,2013-11-15,2013,82,194,61,480,225,112,30,1072,1,3,4,8,2,0,0,0,0,0,0
13,8180,70,Master,18,Alone,35777.0,1,1,2,1,2013-11-15,2013,53,383,2,53,3,5,14,446,3,6,1,5,6,0,0,0,0,0,0
14,2569,35,Graduation,13,Married,17323.0,0,0,0,0,2012-10-10,2012,38,114,14,17,6,1,5,152,1,1,0,3,8,0,0,0,0,0,0
15,2114,76,PhD,21,Alone,82800.0,0,0,0,0,2012-11-24,2012,23,1006,22,115,59,68,45,1270,1,7,6,12,3,0,0,1,1,0,1
16,9736,42,Graduation,13,Married,20781.0,1,1,2,1,2012-12-24,2012,51,173,5,19,2,13,4,212,3,3,0,3,8,0,0,0,0,0,0
17,4939,76,Graduation,13,Together,15175.0,0,0,0,0,2012-08-31,2012,20,400,5,38,150,12,28,605,2,4,1,6,7,0,0,0,0,0,0
18,6565,73,Master,18,Married,52188.0,0,1,1,1,2013-03-28,2013,91,1012,80,498,0,16,176,1606,2,11,4,9,5,0,0,0,1,0,0
19,2278,37,2n Cycle,9,Alone,8905.0,1,0,1,1,2012-11-03,2012,86,138,17,19,30,24,39,228,2,2,1,3,6,0,0,0,0,0,0
20,9360,40,Graduation,13,Married,16893.0,0,0,0,0,2012-08-08,2012,41,404,2,73,69,38,48,586,1,4,2,5,8,0,0,0,0,0,0
21,5376,43,Graduation,13,Married,2447.0,1,0,1,1,2013-01-06,2013,42,138,1,1725,1,1,1,1866,15,0,28,0,1,0,0,0,0,0,0
22,1993,73,PhD,21,Married,58607.0,0,1,1,1,2012-12-23,2012,63,867,0,86,0,0,19,953,3,2,3,9,8,0,1,0,0,0,0
23,4047,68,PhD,21,Married,65324.0,0,1,1,1,2014-01-11,2014,0,536,0,102,21,32,5,691,3,6,2,9,4,0,0,0,0,0,0
24,1409,71,Graduation,13,Together,19086.0,0,1,1,1,2013-03-18,2013,69,456,3,27,39,6,99,531,7,7,1,5,8,0,0,0,0,0,0
25,7892,53,Graduation,13,Alone,18589.0,0,0,0,0,2013-01-02,2013,89,119,4,25,15,12,13,175,2,2,1,3,7,0,0,0,0,0,0
26,2404,46,Graduation,13,Married,13719.0,1,1,2,1,2013-05-27,2013,4,173,4,30,3,6,41,216,4,5,1,4,7,0,0,0,0,0,0
27,5255,36,Graduation,13,Alone,18352.0,1,0,1,1,2013-02-20,2013,19,132,1,3,3,263,362,402,0,27,0,0,1,0,0,0,0,0,0
28,9422,33,Graduation,13,Married,15676.0,1,0,1,1,2013-05-31,2013,26,175,2,42,20,21,10,260,2,2,1,4,3,0,0,0,0,0,0
29,1966,57,PhD,21,Married,84618.0,0,0,0,0,2013-11-22,2013,96,684,100,801,21,66,0,1672,1,6,9,10,2,0,0,1,0,0,0
30,6864,33,Master,18,Alone,10979.0,0,0,0,0,2014-05-22,2014,34,146,4,10,2,2,4,164,2,3,0,3,5,0,0,0,0,0,0
31,3033,59,Master,18,Together,21193.0,0,0,0,0,2013-05-11,2013,56,112,17,44,34,22,89,229,1,2,5,3,3,0,0,0,0,0,0
32,5710,52,Graduation,13,Together,16438.0,0,1,1,1,2012-10-10,2012,31,110,0,5,2,0,3,117,2,2,1,4,5,0,1,0,0,0,0
33,7373,70,PhD,21,Alone,46610.0,0,2,2,1,2012-10-29,2012,8,434,12,96,33,22,43,597,6,4,1,6,6,0,0,0,0,0,1
34,8755,76,Master,18,Married,44258.0,0,0,0,0,2013-02-20,2013,4,482,34,471,119,68,22,1174,1,3,5,9,7,0,0,0,0,0,0
35,10738,71,Master,18,Alone,27038.0,1,1,2,1,2013-08-29,2013,55,143,0,19,2,1,3,165,1,2,0,3,7,0,0,0,0,0,0
36,4339,52,PhD,21,Married,67353.0,0,1,1,1,2013-12-31,2013,37,702,17,151,0,8,35,878,5,5,6,12,2,0,0,0,0,0,0
37,10755,46,2n Cycle,9,Married,15793.0,1,0,1,1,2013-09-02,2013,76,150,3,14,15,7,36,189,3,3,1,2,7,0,0,0,0,0,0
38,8595,49,Graduation,13,Widow,20836.0,0,1,1,1,2014-02-11,2014,99,188,0,6,2,0,4,196,2,1,1,3,5,0,0,0,0,0,0
39,2968,79,PhD,21,Alone,48948.0,0,0,0,0,2013-02-01,2013,53,437,8,206,160,49,42,860,2,7,10,5,6,1,0,0,0,0,1
40,8601,42,Graduation,13,Married,24279.0,0,1,1,1,2013-04-29,2013,3,421,76,536,82,178,102,1293,2,8,6,5,4,0,0,0,0,0,0
41,503,37,Master,18,Married,20559.0,1,0,1,1,2013-03-12,2013,88,159,1,29,3,0,7,192,2,2,0,3,8,0,0,0,0,0,0
42,8430,65,Graduation,13,Together,17807.0,0,1,1,1,2012-12-24,2012,4,142,0,6,3,1,3,152,1,0,0,3,5,0,0,0,0,0,0
43,7281,63,PhD,21,Alone,61648.8,0,0,0,0,2013-11-05,2013,80,403,11,50,3,2,39,469,1,1,3,4,2,0,0,0,0,0,0
44,2139,47,Master,18,Married,7500.0,1,0,1,1,2013-10-02,2013,19,112,1,10,3,2,12,128,3,2,0,3,5,0,0,0,0,0,0
45,1371,46,Graduation,13,Alone,25440.0,0,0,0,0,2014-06-28,2014,72,123,164,266,227,30,174,810,1,2,4,9,1,0,0,0,0,0,0
46,9909,26,2n Cycle,9,Married,7500.0,0,0,0,0,2012-11-09,2012,24,122,18,14,15,22,50,191,3,3,1,3,9,0,0,0,0,0,1
47,7286,54,Graduation,13,Together,20757.0,1,0,1,1,2013-05-24,2013,92,127,6,15,3,5,13,156,1,2,0,2,10,0,0,0,0,0,0
48,7244,71,Graduation,13,Alone,22480.0,2,1,3,1,2014-01-01,2014,96,148,5,48,6,10,7,217,3,2,1,4,6,0,0,0,0,0,0
49,6566,68,PhD,21,Married,72550.0,1,1,2,1,2012-11-08,2012,39,826,50,317,50,38,38,1281,9,5,2,12,8,0,0,0,0,0,0
50,8614,65,Graduation,13,Widow,28460.0,0,1,1,1,2014-05-12,2014,29,429,19,125,37,67,14,677,1,4,2,10,2,0,0,0,0,0,0
51,4114,58,Master,18,Married,62780.0,0,0,0,0,2012-08-11,2012,2,650,37,780,27,167,32,1661,1,6,9,13,3,0,0,0,0,0,0
52,1331,45,Graduation,13,Alone,17055.0,1,0,1,1,2013-01-02,2013,54,155,6,20,30,1,3,212,2,2,0,3,7,0,0,0,0,0,0
53,2225,45,Graduation,13,Alone,15970.0,0,0,0,0,2014-06-07,2014,54,510,120,550,156,40,241,1376,1,4,9,7,1,1,0,0,1,0,1
54,9381,44,Graduation,13,Married,31268.0,1,1,2,1,2013-06-12,2013,57,510,9,124,12,24,109,679,7,4,2,10,3,0,0,0,0,0,0
55,6260,67,Master,18,Together,63090.0,0,0,0,0,2012-11-19,2012,55,984,51,432,180,120,190,1767,1,3,10,13,1,0,0,1,0,0,1
56,10383,56,Graduation,13,Alone,15051.0,0,0,0,0,2013-04-02,2013,30,489,35,482,121,120,40,1247,1,5,5,10,3,0,0,0,0,0,1
57,7437,34,Graduation,13,Alone,17647.0,1,0,1,1,2014-04-28,2014,31,127,0,8,2,1,5,138,1,1,0,4,3,0,0,0,0,0,0
58,8557,40,Graduation,13,Alone,19576.199999999997,1,0,1,1,2013-06-17,2013,57,150,3,22,2,2,6,179,2,2,0,3,6,0,0,0,0,0,0
59,8375,54,PhD,21,Married,55954.0,0,1,1,1,2014-03-03,2014,63,447,0,28,0,0,43,475,3,8,2,6,7,0,0,0,0,0,0
60,6853,40,Master,18,Alone,51212.0,0,0,0,0,2013-07-04,2013,12,712,26,538,69,13,80,1358,1,3,6,11,1,0,1,1,0,0,1
61,3076,47,Graduation,13,Together,29551.0,1,1,2,1,2012-09-07,2012,18,452,18,102,16,18,6,606,4,4,2,12,3,0,0,0,0,0,0
62,1012,70,Graduation,13,Alone,25897.0,0,1,1,1,2013-02-18,2013,26,523,7,134,37,14,169,715,4,8,2,10,7,0,0,0,0,0,0
63,6518,71,PhD,21,Widow,67680.0,0,1,1,1,2013-06-11,2013,8,546,0,48,0,6,6,600,1,7,3,8,5,0,0,0,0,0,0
64,4137,74,Graduation,13,Together,14695.0,0,0,0,0,2013-12-06,2013,29,556,40,367,119,122,30,1204,1,7,4,4,4,0,0,0,0,0,0
65,8082,51,Graduation,13,Married,15192.0,1,0,1,1,2013-05-21,2013,75,134,3,6,3,6,15,152,1,1,1,2,7,0,0,0,0,0,1
66,1386,55,Graduation,13,Together,16979.0,1,1,2,1,2014-05-11,2014,0,125,0,1,0,0,0,126,1,1,0,2,7,0,0,0,0,0,0
67,9369,43,2n Cycle,9,Alone,53595.0,0,1,1,1,2014-03-19,2014,19,688,14,309,201,24,38,1236,1,11,10,10,5,1,0,0,1,0,1
68,4477,64,Graduation,13,Together,31903.0,0,1,1,1,2013-09-27,2013,4,445,49,159,7,82,109,742,1,5,2,10,4,0,0,0,0,0,0
69,1357,52,Graduation,13,Together,20302.0,1,2,3,1,2013-04-08,2013,90,856,59,487,58,29,73,1489,7,2,5,5,5,0,0,0,0,0,0
70,1402,68,Master,18,Married,47059.0,0,0,0,0,2012-09-11,2012,1,496,36,460,189,60,12,1241,3,4,8,6,3,0,0,0,0,0,0
71,10629,49,2n Cycle,9,Married,14362.199999999997,1,0,1,1,2012-09-14,2012,25,158,3,43,17,4,17,225,3,3,0,3,8,0,0,0,0,0,0
72,6312,63,Graduation,13,Married,29796.0,0,1,1,1,2013-03-17,2013,29,451,107,291,84,37,86,970,4,10,3,13,7,0,0,0,0,0,0
73,8132,47,PhD,21,Married,60631.0,1,1,2,1,2013-04-05,2013,88,565,6,65,0,6,19,642,5,9,2,8,7,0,1,0,0,0,0
74,1050,70,Graduation,13,Married,17372.0,0,0,0,0,2014-04-30,2014,58,157,10,13,4,15,9,199,1,2,1,4,2,0,0,0,0,0,0
75,5846,45,Graduation,13,Alone,14501.0,1,0,1,1,2012-12-19,2012,68,128,1,6,2,1,1,138,1,1,0,2,6,0,0,0,0,0,0
76,1859,50,Master,18,Married,56513.0,0,0,0,0,2012-08-27,2012,34,721,111,925,97,18,18,1872,1,7,6,5,5,0,0,0,0,0,1
77,7503,46,Graduation,13,Alone,19577.0,0,0,0,0,2012-10-12,2012,40,1032,105,779,137,105,51,2158,0,5,8,9,4,1,0,0,0,0,1
78,10401,46,2n Cycle,9,Together,16608.0,0,0,0,0,2013-09-04,2013,12,113,0,5,0,3,9,121,1,0,0,3,3,0,0,0,0,0,0
79,1618,57,Graduation,13,Together,16741.0,0,0,0,0,2013-01-02,2013,9,577,0,64,0,0,51,641,2,10,1,8,8,1,0,0,0,0,1
80,3332,37,Graduation,13,Alone,18660.0,1,0,1,1,2012-08-29,2012,87,385,4,68,7,5,17,469,4,3,1,4,8,0,0,0,0,0,0
81,2261,53,Graduation,13,Married,14608.0,1,0,1,1,2013-06-23,2013,5,134,1,5,2,0,4,142,1,1,0,2,7,0,0,0,0,0,0
82,5346,49,2n Cycle,9,Married,14812.0,1,0,1,1,2013-07-03,2013,87,136,5,19,7,0,23,167,3,3,0,3,7,0,0,0,0,0,0
83,4119,59,Master,18,Together,20259.0,0,0,0,0,2013-05-11,2013,56,112,17,44,34,22,89,229,1,2,5,3,3,0,0,0,0,0,0
84,535,35,Graduation,13,Alone,24559.0,0,0,0,0,2014-02-25,2014,18,163,23,424,27,65,76,702,1,3,10,13,1,0,0,0,0,0,0
85,5268,62,Graduation,13,Married,20048.0,1,1,2,1,2013-08-11,2013,95,160,8,14,10,4,3,196,2,1,0,4,7,0,0,0,0,0,0
86,273,52,Master,18,Married,16788.0,1,1,2,1,2013-07-16,2013,48,130,0,16,0,0,5,146,5,3,1,4,7,0,1,0,0,0,0
87,4452,65,Graduation,13,Alone,23494.0,0,1,1,1,2014-05-28,2014,3,466,6,37,0,3,34,512,4,6,1,6,7,0,1,0,1,0,1
88,8504,49,Graduation,13,Married,25101.0,0,0,0,0,2014-05-12,2014,70,501,60,568,110,133,145,1372,1,5,6,7,2,0,0,1,0,0,0
89,771,55,Graduation,13,Together,14672.0,0,1,1,1,2014-01-21,2014,79,135,9,39,4,0,7,187,1,2,2,5,2,0,0,0,0,0,0
90,8996,65,PhD,21,Married,34102.2,2,1,3,1,2012-11-19,2012,4,412,42,192,49,37,53,732,12,7,2,8,9,0,0,0,0,0,0
91,9235,65,Graduation,13,Alone,24094.6,1,1,2,1,2014-05-27,2014,45,130,0,8,2,0,1,140,1,1,0,2,7,0,0,0,0,0,0
92,5798,49,Master,18,Together,28447.199999999997,0,0,0,0,2013-11-23,2013,87,445,37,359,98,28,18,967,1,2,4,8,1,0,0,0,0,0,0
93,11178,50,Master,18,Alone,21097.0,1,0,1,1,2014-03-23,2014,69,161,2,10,0,1,4,174,1,1,0,3,7,0,0,0,0,0,0
94,2230,52,PhD,21,Married,23626.0,1,0,1,1,2014-05-24,2014,84,144,2,14,0,0,0,160,3,3,1,3,5,0,0,0,0,0,0
95,7516,39,Graduation,13,Married,17611.0,1,0,1,1,2014-05-22,2014,30,129,3,11,12,5,9,160,1,2,0,3,6,0,0,0,0,0,0
96,7247,62,Graduation,13,Widow,24984.0,0,1,1,1,2012-11-22,2012,72,505,0,26,0,0,75,531,5,7,4,6,6,0,1,0,0,0,0
97,11100,50,Graduation,13,Alone,26845.0,1,1,2,1,2013-04-11,2013,37,200,2,7,0,1,2,210,2,2,0,3,7,0,0,0,0,0,0
98,4646,71,2n Cycle,9,Married,40384.0,0,0,0,0,2013-12-01,2013,44,377,26,447,75,0,223,925,1,5,7,12,2,0,0,0,1,0,0
99,3037,39,PhD,21,Married,50150.0,0,0,0,0,2013-06-20,2013,32,135,46,92,65,61,11,399,2,5,2,7,5,0,0,0,0,0,0
100,1473,62,2n Cycle,9,Alone,15232.0,0,1,1,1,2013-07-23,2013,0,170,1,5,2,1,10,179,2,2,0,3,8,0,0,0,0,0,0
101,1016,63,PhD,21,Alone,34554.0,0,1,1,1,2014-03-30,2014,43,156,1,6,2,0,5,165,2,2,0,3,6,0,0,0,0,0,0
102,4518,43,Graduation,13,Together,18981.0,0,1,1,1,2013-04-20,2013,59,540,172,183,185,132,111,1212,2,9,5,11,5,0,0,0,0,0,0
103,9370,77,PhD,21,Married,65846.0,0,0,0,0,2013-05-17,2013,68,562,81,276,80,40,81,1039,1,6,3,6,4,0,0,0,0,0,0
104,8908,63,Graduation,13,Married,18775.0,0,0,0,0,2014-05-08,2014,35,404,76,690,50,26,38,1246,1,3,11,5,1,0,0,0,0,0,1
105,8373,43,Basic,6,Together,9136.0,1,0,1,1,2013-12-10,2013,94,112,3,6,10,0,9,131,1,1,0,3,5,0,0,0,0,0,0
106,7533,58,Graduation,13,Married,15075.0,1,1,2,1,2013-09-24,2013,15,144,1,32,2,1,7,180,4,4,1,4,7,0,0,0,0,0,0
107,2683,53,Graduation,13,Married,13397.0,0,2,2,1,2013-02-02,2013,56,476,106,271,75,98,65,1026,4,6,4,12,6,0,0,0,0,0,0
108,3629,44,Graduation,13,Alone,16029.0,1,0,1,1,2012-12-19,2012,17,194,3,31,4,4,27,236,2,3,1,3,7,0,0,0,0,0,0
109,10991,62,Master,18,Married,66252.0,0,0,0,0,2012-12-07,2012,18,454,194,106,31,22,43,807,1,5,4,4,2,0,0,0,0,0,0
110,5077,43,Graduation,13,Together,21775.0,0,1,1,1,2013-11-02,2013,46,425,115,292,23,35,79,890,1,6,6,11,3,0,0,0,0,0,0
111,7431,31,PhD,21,Alone,68126.0,0,0,0,0,2012-11-10,2012,40,1195,17,311,23,51,86,1597,1,7,4,5,9,0,1,0,0,0,1
112,3267,59,Master,18,Together,29262.0,0,1,1,1,2014-06-25,2014,27,527,0,21,0,0,60,548,3,8,1,8,6,0,1,0,0,0,0
113,999,31,Graduation,13,Alone,17167.0,0,0,0,0,2013-01-02,2013,95,490,44,125,29,20,22,708,1,6,7,11,3,0,1,1,0,0,1
114,9215,42,PhD,21,Married,43974.0,1,0,1,1,2012-12-12,2012,19,558,0,101,0,0,72,659,5,6,4,6,7,0,0,0,0,0,0
115,2286,60,Graduation,13,Alone,25852.0,1,1,2,1,2013-09-10,2013,27,183,1,21,0,1,27,206,2,2,1,3,6,0,0,0,0,0,0
116,1592,52,Graduation,13,Married,24896.0,0,0,0,0,2014-01-24,2014,25,547,99,812,151,82,33,1691,0,4,6,5,1,0,0,1,1,0,0
117,367,44,2n Cycle,9,Married,10284.0,1,0,1,1,2013-02-19,2013,74,164,90,94,123,103,120,574,5,9,1,5,9,0,0,0,0,0,0
118,5234,55,2n Cycle,9,Together,13002.0,1,1,2,1,2013-07-11,2013,85,122,5,25,0,9,30,161,2,1,1,3,5,0,0,0,0,0,0
119,9862,53,Graduation,13,Together,17914.0,1,0,1,1,2013-11-14,2013,37,131,6,7,11,5,3,160,2,2,0,3,6,0,0,0,0,0,0
120,9805,69,Master,18,Together,32027.0,0,1,1,1,2013-06-20,2013,65,511,48,133,39,72,48,803,4,6,2,10,4,0,0,0,0,0,0
121,6205,55,Master,18,Alone,21036.0,1,0,1,1,2014-02-24,2014,13,163,3,29,0,4,10,199,3,2,1,3,5,0,0,0,0,0,1
122,8442,37,Master,18,Married,19510.0,2,0,2,1,2013-09-04,2013,63,119,0,7,3,4,7,133,2,1,0,3,7,0,0,0,0,0,0
123,7386,46,Graduation,13,Alone,21564.0,1,0,1,1,2013-04-22,2013,83,142,0,14,7,3,2,166,1,1,0,3,7,0,0,0,0,0,0
124,7215,39,Graduation,13,Alone,31970.0,0,0,0,0,2013-03-12,2013,69,722,27,102,44,72,168,967,0,6,8,13,2,0,1,1,1,0,1
125,1491,57,2n Cycle,9,Together,34292.0,0,0,0,0,2013-02-18,2013,87,162,33,124,40,28,172,387,2,3,4,7,1,0,0,0,0,0,0
126,11071,38,Graduation,13,Alone,24505.0,0,0,0,0,2013-04-21,2013,37,450,133,951,173,0,216,1707,1,3,6,6,1,0,0,0,0,0,1
127,3381,69,Master,18,Married,32210.0,1,1,2,1,2014-06-08,2014,51,192,0,16,0,0,4,208,2,2,0,4,6,0,0,0,0,0,0
128,8268,61,PhD,21,Married,66682.8,0,1,1,1,2013-07-11,2013,23,523,0,27,10,0,15,560,3,6,1,7,6,0,0,0,0,0,0
129,11051,66,PhD,21,Together,77376.0,1,1,2,1,2014-05-10,2014,72,492,19,110,16,12,12,649,4,6,3,10,4,0,0,0,0,0,0
130,8026,70,Graduation,13,Married,23691.0,0,1,1,1,2013-09-30,2013,10,120,58,73,65,89,58,405,5,5,4,5,5,0,0,0,0,0,0
131,433,64,Master,18,Alone,39512.0,1,1,2,1,2013-03-10,2013,42,534,5,47,0,5,41,591,5,11,1,6,8,0,0,0,0,0,0
132,9597,53,Graduation,13,Married,17386.0,0,0,0,0,2014-02-10,2014,10,420,106,189,23,41,130,779,1,7,2,9,4,0,0,0,0,0,0
133,1295,59,Graduation,13,Married,14734.800000000003,0,1,1,1,2013-08-11,2013,96,430,65,196,38,71,124,800,1,6,5,7,4,0,0,0,0,0,0
134,5290,58,PhD,21,Married,41551.0,1,1,2,1,2013-08-14,2013,51,398,0,33,3,0,23,434,5,5,1,5,8,0,0,0,0,0,0
135,1685,55,PhD,21,Together,62981.0,0,0,0,0,2013-03-17,2013,21,796,14,590,38,44,0,1482,1,4,5,13,3,0,1,0,0,0,0
136,5342,46,Basic,6,Alone,9548.0,1,0,1,1,2012-08-08,2012,31,133,1,3,10,6,9,153,2,1,0,3,8,0,0,0,0,0,0
137,9579,63,PhD,21,Married,33762.0,2,1,3,1,2013-07-07,2013,61,200,1,34,2,0,16,237,3,2,2,2,8,0,0,0,0,0,0
138,7660,49,PhD,21,Alone,35860.0,1,1,2,1,2014-05-19,2014,37,119,0,8,4,2,20,133,2,1,1,2,5,1,0,0,0,0,1
139,1461,57,PhD,21,Alone,36921.0,1,1,2,1,2013-07-28,2013,74,129,1,12,3,1,4,146,2,2,0,3,7,0,0,0,0,0,0
140,821,30,Master,18,Alone,63879.0,0,0,0,0,2012-10-19,2012,46,962,61,921,52,61,20,2057,1,5,4,12,2,0,0,0,0,0,0
141,11084,46,Master,18,Together,42180.0,0,1,1,1,2013-11-14,2013,4,738,0,232,13,20,50,1003,2,3,5,7,7,0,0,0,0,0,1
142,8690,60,Graduation,13,Married,17426.0,0,0,0,0,2013-04-19,2013,73,596,28,756,36,40,126,1456,1,5,7,10,2,0,0,0,0,0,0
143,2937,48,PhD,21,Alone,68352.0,0,1,1,1,2013-08-28,2013,47,614,16,132,43,33,33,838,3,8,5,9,6,0,0,0,0,0,0
144,9701,34,Graduation,13,Together,19539.0,1,0,1,1,2013-03-19,2013,13,173,34,41,73,16,116,337,3,4,2,3,7,0,0,0,0,0,0
145,9949,46,Graduation,13,Married,24066.0,0,2,2,1,2012-10-18,2012,36,598,16,141,32,41,49,828,3,3,3,6,8,0,0,0,0,0,0
146,10837,47,Graduation,13,Married,18509.0,1,0,1,1,2012-10-28,2012,47,116,1,18,20,11,16,166,1,2,0,3,6,0,0,0,0,0,1
147,3120,41,Graduation,13,Together,15245.0,1,0,1,1,2013-08-28,2013,49,132,1,10,0,1,4,144,1,1,0,2,8,0,0,0,0,0,0
148,5885,49,2n Cycle,9,Married,15817.0,2,1,3,1,2012-08-22,2012,94,173,3,90,12,1,32,279,7,4,1,4,8,0,0,0,0,0,0
149,4050,56,Master,18,Married,30594.0,0,0,0,0,2014-06-21,2014,65,148,16,29,12,20,8,225,1,2,1,4,3,0,0,0,0,0,0
150,3830,69,Master,18,Married,35033.0,0,2,2,1,2014-04-24,2014,59,487,21,78,39,13,13,638,1,4,4,7,3,0,0,0,0,0,0
151,7987,53,Graduation,13,Married,28758.0,0,1,1,1,2014-03-07,2014,96,523,17,48,23,13,13,624,4,8,1,6,6,0,1,0,0,0,0
152,7798,50,2n Cycle,9,Together,17902.0,0,1,1,1,2012-12-14,2012,28,401,20,57,8,20,91,506,4,7,1,5,7,0,0,0,0,0,0
153,92,34,Graduation,13,Alone,17049.0,1,0,1,1,2014-05-12,2014,12,107,7,24,19,14,20,171,4,3,0,4,6,0,0,0,0,0,0
154,7055,70,PhD,21,Together,61010.0,0,1,1,1,2012-10-09,2012,57,888,0,57,0,0,76,945,2,8,5,11,5,0,0,0,0,0,0
155,10240,73,Graduation,13,Together,31935.0,0,0,0,0,2013-02-19,2013,10,997,26,269,34,13,42,1339,1,10,4,6,4,0,1,1,0,0,1
156,3025,64,Graduation,13,Alone,26845.0,0,1,1,1,2013-07-08,2013,4,389,6,69,4,12,3,480,3,6,1,5,7,0,0,0,0,0,0
157,9283,44,Graduation,13,Alone,24528.0,1,2,3,1,2013-09-12,2013,49,116,1,7,2,0,0,126,1,0,0,3,4,0,0,0,0,0,0
158,9970,45,Graduation,13,Together,17106.0,0,1,1,1,2013-10-17,2013,3,184,11,57,10,28,14,290,1,1,1,6,2,0,0,0,0,0,0
159,2730,67,Graduation,13,Alone,25244.0,0,0,0,0,2013-08-20,2013,64,536,11,387,149,91,57,1174,1,3,4,10,1,0,0,0,0,0,0
160,2795,64,Master,18,Alone,22944.0,2,1,3,1,2013-07-01,2013,0,129,0,3,0,0,5,132,1,1,0,2,7,0,0,0,0,0,0
161,9260,77,PhD,21,Married,70356.0,0,0,0,0,2012-11-05,2012,20,1171,16,249,43,16,33,1495,2,10,6,9,6,0,0,0,0,0,0
162,8182,38,Graduation,13,Married,16289.0,1,0,1,1,2014-01-05,2014,91,188,3,49,7,4,5,251,4,3,0,4,8,0,0,0,0,0,0
163,10095,47,PhD,21,Alone,74165.0,0,0,0,0,2013-05-01,2013,9,1001,12,240,16,12,12,1281,1,5,4,10,2,0,0,0,0,0,0
164,8475,49,PhD,21,Married,157243.0,0,1,1,1,2014-03-01,2014,98,152,2,1582,1,2,1,1739,15,0,22,0,0,0,0,0,0,0,0
165,4370,56,Graduation,13,Together,21655.0,2,1,3,1,2013-11-13,2013,83,158,1,32,6,3,28,200,3,2,0,4,6,0,0,0,0,0,0
166,10573,69,Graduation,13,Alone,26152.0,0,0,0,0,2013-11-18,2013,27,125,16,98,134,21,27,394,1,6,7,4,3,1,0,0,0,0,0
167,3712,63,Graduation,13,Alone,14661.0,0,0,0,0,2013-08-28,2013,63,386,5,33,7,0,2,431,1,3,2,6,4,0,1,0,0,0,0
168,6637,34,Graduation,13,Alone,30787.0,0,0,0,0,2013-11-02,2013,46,455,162,305,173,76,124,1171,1,3,4,7,1,0,0,0,0,0,0
169,3152,65,Graduation,13,Together,19240.0,1,1,2,1,2014-02-25,2014,84,123,10,19,8,17,20,177,3,2,1,3,5,0,0,0,0,0,0
170,5610,57,Graduation,13,Together,16128.0,1,1,2,1,2014-04-21,2014,58,133,3,10,8,1,7,155,2,1,0,3,7,0,0,0,0,0,0
171,6460,40,Graduation,13,Married,19107.0,1,0,1,1,2013-07-13,2013,78,112,4,6,11,8,16,141,2,2,0,3,8,0,0,0,0,0,0
172,1349,52,Graduation,13,Married,24104.0,2,0,2,1,2014-04-21,2014,4,199,7,24,2,3,27,235,1,3,1,3,6,0,0,0,0,0,0
